number,value,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_gamma,param_reg_alpha,param_reg_lambda
0,0.6312212157566661,1806,10,0.13913501907880974,0.7912904871687589,0.505379651442491,6,0.003091139250875379,5.756506504956033e-07,0.4217542193739765
1,0.9441533569758939,1161,6,0.0014864830533458894,0.9359843018378007,0.6598926892471164,3,0.0017271883581966424,0.061498042309305355,0.007911005642267294
2,1.5408408826059694,377,10,0.0002513593958218879,0.6973221832960024,0.6049484377386424,5,0.0011557581537984512,0.4201501898445189,0.3329227048283648
3,0.8476118446624568,414,7,0.005095924657792682,0.5083208649109108,0.7563661025008483,6,2.5171239861398078e-05,4.040726228452773e-07,3.1868861976236645e-05
4,0.6804608978416897,919,7,0.009108085097297804,0.5880727940317807,0.8934090751651731,5,0.041480760554934465,6.157016044578785e-07,0.0001644541939963697
5,1.291769128738323,1404,4,0.0003712415751607051,0.685818787601545,0.8433479271826684,7,0.002837637321174748,0.2715912827362057,1.1143904315196911e-06
6,1.447474725133383,1189,4,0.00020912320204501892,0.5498400003823629,0.7638191153198397,7,0.004833698787875606,1.859572047708791e-07,7.071012294029543e-05
7,0.8400888698526814,1752,9,0.0011811373618905408,0.7949985423681344,0.5591979060731536,3,0.006540653358382873,3.7627395788042535e-05,1.2887538389512567e-05
8,0.6235432656785813,615,12,0.19292639729981276,0.8452145236026624,0.6095828646613168,1,2.9652903912862474e-05,0.039730671876838555,4.4962321707160287e-07
9,0.8226871369675808,1363,10,0.0012379362321128546,0.9027307914770715,0.7814297554742279,6,0.0003021637587821763,0.0031425986932986766,2.480095601966361e-08
10,0.6186590502997469,745,12,0.2615424889877176,0.8686167795062888,0.9885346394131762,1,1.1448664057720483e-07,0.0007744687040157633,3.371727500895657e-08
11,0.6342902485272595,730,12,0.2722911509950496,0.8550647638058454,0.9719692891129814,1,5.893735938366132e-08,0.0007743974296037072,1.4262004038007677e-08
12,0.6052163331868711,657,12,0.05455389281457016,0.9723271175537307,0.6681716613708506,1,2.665043958615674e-06,0.010080219039832033,1.304288155902035e-06
13,0.5986197495832779,781,12,0.040241733779697045,0.9874576047762994,0.9892064019136219,2,1.0406641433701438e-07,3.4310546712370005e-05,4.3136497104847607e-07
14,0.621270820090509,246,11,0.04333101498402911,0.9756740367861241,0.6914991256274711,2,1.123206908850548e-06,1.6713687781259504e-05,1.0977682569315265e-06
15,0.6406619108346394,132,11,0.03893842575532822,0.9745835447553282,0.8815111591403767,2,1.3904266631869632e-06,1.4431648039852627e-08,0.0008597379633275359
16,0.606377198342404,892,8,0.031338468987791204,0.9942966956006466,0.6797563571109706,3,1.254883755159671e-08,7.160761704767551e-06,2.989936776025212e-06
17,0.6174796961315699,519,11,0.012189219779237549,0.931499593092046,0.939796349662877,2,2.798472601832009e-06,0.00281216278976793,1.7558926617821013e-07
18,0.6052878920973255,929,9,0.08768168863938818,0.7306180537350171,0.8294570732037235,2,2.41974658674961e-07,9.83749912738366e-05,4.850392483734331e-06
19,0.6005699944976379,667,12,0.021376873028020094,0.6268944850160283,0.7115435180333022,4,8.196139709006344e-06,0.01594290743074257,1.3327826506671143e-07
20,0.5978474695498834,1997,9,0.01755382246216641,0.6272576786890499,0.7257240546292982,4,0.8878232771646912,3.641312157002524e-06,4.9915331003875245e-08
21,0.6019315298971352,1514,9,0.02065094488460049,0.6301946571478626,0.7228698767981759,4,0.9636731793646606,4.307261201001101e-06,1.1818953969410735e-07
22,0.6770914395779114,1020,11,0.0032291266704356438,0.6273363467495556,0.8093542512943442,4,0.5786426005519552,0.00012496750652332236,8.94148747013442e-08
23,0.682006449660426,1626,5,0.01545861160236018,0.6466665093746157,0.6154317109334025,4,1.5903238457350782e-05,3.0321253338576548e-06,1.2009631095772026e-08
24,0.5956406985419093,1169,8,0.08453856233620448,0.5703152928620814,0.7204793437781921,5,0.00023417241355317816,0.0001709415338788166,3.022625932463725e-07
25,0.5967047749338719,1879,8,0.08088441915381545,0.5546761732597014,0.8798730145649591,5,0.051676814050748504,0.0002475937442214594,3.5759998671621784e-07
26,0.5983954031198945,1820,8,0.08562442650207797,0.5018175500307602,0.8802265520759872,5,0.10292933827103039,0.00042944738345597553,0.0005672404211268988
27,0.6058492857501315,1934,7,0.10100183201743053,0.5669063844447316,0.7932043655664526,5,0.037347706799259445,0.000155580600164475,5.403236572683693e-06
28,0.5995713265723879,1935,8,0.08492430764779152,0.5489544363664893,0.7301690825224048,5,0.25997356950011946,1.080783624152198e-07,0.023986860650485005
29,0.6119629036718796,1993,6,0.13783205531045853,0.5895818482332699,0.5151637440026872,6,0.00024130671841507108,3.2124797206759724e-06,4.763437430036551e-08
30,0.6237963932330205,1708,9,0.006393088099490015,0.6770326562971102,0.8411393006288315,5,0.023347675659029198,1.366566817443621e-06,3.5286239889738245e-07
31,0.5989351750208579,1866,8,0.06220930402198465,0.5088440649504032,0.8991994746403524,5,0.1435914613450439,0.00041320406885433816,0.0007029057670517988
32,0.6107495767451154,1826,7,0.13792212230779086,0.5312637639553777,0.9313049507798504,6,0.12319744144223456,0.002303511264089081,0.0016806654982673484
33,0.6003809604893314,1597,8,0.07150175060213168,0.5996632282368791,0.8795121808688732,5,0.012610520848580237,0.0004796180985849097,0.0026583596460936208
34,0.6347864597794082,1206,6,0.022171647685396444,0.5241672261508138,0.749776755894568,4,0.0008778626543500831,1.3203713097936297e-05,0.01690923943655197
35,0.6170001256563544,1697,9,0.15469812886770973,0.5629828817182211,0.6442293663832456,4,0.07364819796053952,7.619994846527859e-05,0.31682952677023946
36,0.6923264912650018,1450,10,0.0023089717944932736,0.5970961308936044,0.8179342600463174,6,0.3289220114958118,0.00029806858195893847,9.291887508380889e-05
37,0.6422802261849518,1829,7,0.00960056236612959,0.5023319033689017,0.8512866381816842,3,0.015243040055308101,0.0015534495647936855,0.0002763774379629349
38,0.5975934117218625,1264,8,0.02782406646852053,0.7251358013550933,0.9395074957850239,5,0.0012330765929517758,0.012415103002730986,2.3577321324605786e-05
39,0.5895309813057364,1274,10,0.02820527543431505,0.7597808609830438,0.9552004285738891,7,8.508570250448554e-05,0.055472950705137,2.9593249872830166e-05
40,0.6087892064852618,1285,7,0.02849549493576187,0.7846591388718928,0.9368307512162873,7,6.204593072862105e-05,0.8416258710596616,2.845706738739323e-05
41,1.4814557722496846,1077,10,0.00012230932414241449,0.7282126497995982,0.9517872106961335,7,0.0007267522994288458,0.18663442151509863,1.1890373424562176e-05
42,0.6039708301857101,1308,9,0.014208779038630867,0.7875716916263005,0.9107934435241819,5,0.00013059599162963356,0.10089182467933659,1.7459274955465795e-05
43,0.5933774478408214,1093,8,0.05226827795274688,0.6647543340893087,0.9641332931472609,6,0.0015634607742811752,0.0083939434700475,1.8201675854100544e-06
44,0.5989489322037016,1104,8,0.04801108293508466,0.7096954639842891,0.9612985388798347,6,0.0021737074993169007,0.012146695465457932,2.7899942862072116e-06
45,1.1386001653913191,1229,6,0.0005907385388968938,0.8136067879341136,0.9983187477127464,7,0.0003795306386469109,0.02393830596644508,4.737099987409773e-05
46,0.6029467027051706,1002,8,0.029931526668345393,0.7583466203119821,0.9229364376114664,6,0.00010161591312828095,0.05837102701599585,1.9092615420067882e-06
47,0.670414635537483,1392,7,0.007149194998041916,0.6682949237386717,0.9714672337699334,7,0.004766492833483457,0.00615095689908618,1.0213976544082017e-06
48,0.6210529283583638,1134,7,0.2155201364628152,0.7593959704969074,0.8696892274568144,6,4.590050112644965e-05,0.005325581739067142,7.212729933628152e-06
49,0.6102604026799646,824,5,0.12649180070096502,0.7022842276432891,0.9175020295703934,7,0.0020037930875798546,0.1192686213409957,0.0001612861445891152
50,0.5883864172070955,1485,10,0.05557061099588054,0.6563217431458673,0.9588578469837946,6,0.0005683787171716498,0.036088217112917174,3.448189743340545e-07
51,0.5914791622903366,1479,10,0.056858047080019604,0.6644921682131453,0.9752591392231196,6,0.00020649167360395042,0.03453181936717792,6.35140276708147e-07
52,0.5924576573966587,1356,10,0.054590536769379305,0.6589084241245305,0.9776953238629459,6,0.00042653046304085257,0.0311949784334105,2.9134264903850166e-07
53,0.5895334696508763,1455,11,0.0545103398250311,0.6581938151833808,0.9777840118912643,6,0.0001953305866886335,0.41474675394407606,7.309296634551702e-07
54,0.5923304821207976,1514,10,0.05310911071245047,0.6603470257570933,0.9701822922822166,6,0.0006455521373063543,0.4643508882142006,8.522294567979605e-07
55,0.5922252840168062,1500,10,0.04248338367399556,0.6511410809184877,0.9867016301073556,6,1.4574706263738265e-05,0.27570364520940477,5.939412776764387e-07
56,0.5890483363256849,1505,11,0.03843667085409643,0.6860027068483238,0.9951341784551369,7,9.01774825134148e-06,0.44920156502545816,7.2668593981259e-07
57,0.5917623812086994,1507,11,0.011490671776304447,0.6449693559659012,0.9989663013720202,7,1.371837609294171e-05,0.925940332341016,6.611793964854303e-07
58,0.5905097367051423,1594,11,0.01208013229851678,0.6877793111669692,0.9997155623440999,7,6.9323539658691e-06,0.7974429732905625,5.77579775895913e-08
59,0.6247129129402177,1602,11,0.003470879524594691,0.6831318986546919,0.9500437147120436,7,5.7810710575693204e-06,0.4313251457830115,1.8551981824263514e-08
60,0.5850521568632456,1680,11,0.02220104614139489,0.69627316448752,0.9039813099298359,7,3.3198164667478366e-05,0.07415532966180635,5.535650260040949e-08
61,0.590595900366968,1638,11,0.037370093175066586,0.6892082807894866,0.9523893607185078,7,4.6648995883973063e-05,0.05917019248624626,6.183110554060503e-08
62,0.5896173121776582,1737,11,0.037601637778502124,0.6941843038833769,0.9521627354170173,7,2.950188197363896e-05,0.10567531220043377,5.8011140087566465e-08
63,0.5888901201190244,1749,12,0.0167369672897789,0.7423671710075821,0.997799326354767,7,5.64103297354846e-07,0.11592888624178199,3.107644177154681e-08
64,0.5857612416270362,1701,12,0.024312524303051218,0.7120047391261952,0.8990610255001178,7,4.840478783284421e-07,0.1373370870780264,1.9748490776736056e-07
65,0.5872426370215362,1685,12,0.019932180860924364,0.73869360187778,0.9018212316702282,7,4.862441421752017e-07,0.21091818413773114,1.8984285304885047e-07
66,0.5868885267031546,1661,12,0.024527987140918143,0.7446375510416205,0.9122956877802532,7,5.73230961873801e-07,0.16618948927240396,2.585443985240909e-08
67,0.5860250479337281,1676,12,0.015479547402981693,0.7378474238638214,0.8992702043552674,7,4.6534211773171673e-07,0.14022800363953586,2.36918254783146e-08
68,0.5864701065478145,1670,12,0.01851552933419344,0.7418954670474389,0.8960765866299746,7,5.05140867058588e-07,0.17116178073575716,2.7533507171962593e-08
69,0.5853630762016991,1664,12,0.021293415088491394,0.8168191732316274,0.9034678223135367,7,3.5910925875888403e-07,0.22844478559307504,2.33963088963865e-08
70,0.5883032911564193,1669,12,0.008989011330967965,0.8130882916224496,0.8600126013572539,7,2.5276316747441754e-08,0.21370081495786286,1.0313312422074995e-08
71,0.5870084135768823,1684,12,0.008672454956018174,0.8218199413045515,0.9005378976026803,7,2.8205517513680473e-08,0.20313809523071605,1.0453122318159144e-08
72,0.586309114332433,1562,12,0.022967206300202724,0.8646910713541998,0.9096015235555747,7,2.6599110222270946e-07,0.23249935020337612,2.2320087582731373e-08
73,0.5981176619088465,1775,12,0.004560658157397454,0.8913723088692271,0.8919150772955463,7,1.6662832791602349e-07,0.15332236976807434,2.1653016909944368e-08
74,0.5871523063666693,1908,12,0.02366964208861966,0.8375023391004338,0.8902231011206657,7,5.532888294310903e-08,0.01883904156094727,3.092016573900231e-08
75,0.5875728814136341,1578,12,0.008551286312817352,0.7734502499255252,0.910034031395362,7,1.5220459883595676e-06,0.07898822366512474,8.776000666038791e-08
76,0.5850419617833912,1558,12,0.01467384419580148,0.8598834230584332,0.8363015415782512,7,3.313958283049941e-07,0.3048500167945845,1.473825893955257e-08
77,0.5866732348309879,1558,12,0.018478702118470785,0.8562212196674992,0.8347376544790294,7,3.716881251565769e-07,0.310749905801219,1.6864320735561602e-08
78,0.585238872850384,1788,12,0.01466373235132459,0.8682153215967732,0.8328688607440059,7,3.323188063527562e-07,0.30393964738427953,1.6526678737946048e-07
79,0.5880291059833069,1792,12,0.011848915077551326,0.8865268849616651,0.7907135454850379,7,9.715707872499918e-08,0.5736570576998036,1.739343248567387e-07
80,0.5836366998095232,1739,12,0.014389329576796917,0.9490334558658569,0.8621979769538803,7,2.5903710595451122e-06,0.08351938325144921,1.0949110317590791e-07
81,0.593234910645316,1724,12,0.00606504772085858,0.9372658376432308,0.8646811199191043,7,2.4857945695221057e-06,0.07676404553330148,1.1840874051566205e-07
82,0.5848317515927468,1876,12,0.0142182914721151,0.9257323830958136,0.820822041394702,7,1.0799366390386574e-06,0.29640325221414643,3.994836792836101e-08
83,0.587353198261001,1876,12,0.010506505971560757,0.9147200406224937,0.8070538621845513,7,2.462398933950719e-07,0.30387699708126586,8.723693662495218e-08
84,0.6021952027390409,1967,11,0.004689379762533749,0.952543631329967,0.8510686208646228,7,9.344134953471069e-07,0.6531151014405471,4.361936351463812e-08
85,0.5882290673020696,1847,12,0.015023919066760283,0.871026029007936,0.7696794037905065,7,9.410781229888569e-07,0.0586433704600582,1.5863926461263407e-08
86,0.5856670372494721,1781,11,0.013612403882583515,0.9178227867881856,0.8233748264377503,7,2.055258983372495e-06,0.33442130585304275,1.8325506703048433e-07
87,0.5859567307535231,1773,11,0.01352145165887624,0.9122013642303883,0.8121084231279808,7,3.0039150245724156e-06,0.9642396669869157,2.243087233393985e-07
88,0.5850981231693753,1790,11,0.01355687147243373,0.9186583953019081,0.819918105248513,7,3.616742871236944e-06,0.673487178765193,2.177772813291352e-07
89,0.5955877474769348,1912,11,0.006879736466118651,0.9591839557675131,0.8299827805281753,6,3.9436921222596936e-06,0.31329842533176605,1.082158860981666e-07
90,0.5925434641069611,1812,11,0.0076514149291508045,0.925818110593369,0.8234065367324969,7,1.413808673942061e-06,0.044366777595560875,1.5914662687843511e-07
91,0.5869096571967498,1776,11,0.012480440933223936,0.9047276055455885,0.7962260495770453,7,2.1249211902338156e-06,0.6042371988752356,2.5223643885969295e-07
92,0.58795961002669,1737,11,0.014204424594598336,0.8854668247512556,0.8431453180730407,7,4.319147852052308e-06,0.9270464247255091,7.147890551524027e-08
93,0.5890226443566601,1857,11,0.032558217604512434,0.9241015556600556,0.853956141240896,7,1.3170222792473546e-07,0.3764418403506554,4.060279141706747e-08
94,0.585740778886046,1785,12,0.013229379408700571,0.9547075687448798,0.8122001679104407,7,1.9115571548121757e-06,0.08789924490799983,4.4659018997977924e-07
95,0.5998292192730302,1955,12,0.005566530446429962,0.9435642534780242,0.7502122708354675,6,8.531889731046354e-07,0.02577780440346154,1.395965597111024e-07
96,0.5847244384175232,1890,12,0.009836854303595835,0.9851553921968387,0.8727674667894552,7,1.8843282743363587e-06,0.09521167318681689,4.920782944622287e-07
97,0.587481520365396,1901,12,0.010275128323093113,0.9827689685257899,0.8026731501478558,7,1.4388207116571783e-06,0.08058490051057789,4.4847278620194217e-07
98,0.5873067186538392,1993,12,0.016650511289520078,0.9683741760621527,0.7850792725164129,6,1.951920331995916e-06,2.235704753681089e-08,1.7248584430098511e-06
99,0.5853349395381334,1801,12,0.01022466075794771,0.9901676752846762,0.8190068334230516,7,3.4641533484938723e-06,0.017516629747226495,4.744528281356505e-08
